dt,j1,j2,j3,j4,j5,j6,gripper_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
