dt,j1,j2,j3,j4,j5,j6,gripper_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2581,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7819,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
