dt,j1,j2,j3,j4,j5,j6,gripper_m
0.0,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.0504,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.1009,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.1514,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.2017,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.2522,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.3027,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.353,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.4035,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.454,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.5043,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.5549,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.6054,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.6558,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.7062,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.7566,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.807,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.8574,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.9079,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
0.9583,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.0087,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.0592,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.1097,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.1601,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.2106,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.2611,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.3113,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.3618,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.4122,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.4627,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.513,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.5635,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.614,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.6645,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.715,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.7655,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.8158,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.8662,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.9167,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
1.9672,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.0177,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.068,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.1185,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.1689,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.2194,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.27,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.3202,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.3708,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.4213,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.4716,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.5221,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.5725,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.6229,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.6734,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.7238,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.7743,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.8248,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.8752,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.9257,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
2.9761,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.0265,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.077,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.1274,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.1778,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.2282,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.2788,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.3291,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.3797,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.4301,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.4804,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.531,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.5814,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.6318,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.6822,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.7327,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.7831,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.8335,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.884,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.9344,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
3.9849,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.0355,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.0858,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.1363,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.1867,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.2372,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.2876,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.338,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.3885,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.4389,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.4893,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.5399,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.5904,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.6408,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.6912,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.7416,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.7921,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.8425,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.8929,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.9433,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
4.9938,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.0442,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.0947,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.1452,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.1955,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.2461,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.2964,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.3469,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.3972,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.4477,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.4981,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.5486,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.5991,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.6495,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.7,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.7505,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.8009,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.8514,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.9017,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
5.9522,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.0026,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.053,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.1035,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.154,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.2044,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.2549,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.3054,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.3558,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.4063,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.4568,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.5071,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.5576,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.6079,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.6584,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.7088,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.7593,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.8099,-0.015219,0.523669,-0.524192,0.109903,0.392507,-0.157149,0.0
6.8603,-0.015219,0.523669,-0.524192,0.111649,0.392507,-0.157149,0.0
6.9106,-0.015219,0.523669,-0.524192,0.111649,0.392507,-0.157149,0.0
