dt,j1,j2,j3,j4,j5,j6,gripper_m
0.0,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.0502,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.1005,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.1508,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.2012,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.2515,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.302,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.3522,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.4027,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.453,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.5035,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.554,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.6041,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.6544,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.7047,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.755,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.8053,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.8557,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.9062,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
0.9566,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.007,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.0573,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.1076,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.158,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.2083,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.2585,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.309,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.3592,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.4096,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.4598,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.5102,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.5605,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.6108,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.6613,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.7116,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.7619,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.8123,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.8626,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.913,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
1.9633,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.0137,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.064,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.1144,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.1646,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.2148,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.2651,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.3155,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.3658,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.4161,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.4664,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.5169,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.5673,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.6176,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.668,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.7182,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.7684,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.8188,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.8691,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.9194,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
2.9696,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.0199,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.0702,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.1207,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.1712,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.2216,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.272,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.3224,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.3727,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.4232,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.4735,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.5238,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.5741,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.6246,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.675,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.7253,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.7758,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.826,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.8762,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.9268,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
3.9771,0.0,0.523075,-0.523232,0.063705,0.209649,0.155928,0.0
4.0272,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.0777,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.1282,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.1789,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.2292,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.2795,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.3298,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.3801,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.4306,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.4808,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.5312,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.5816,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.6321,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.6824,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.7327,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.7831,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.8333,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.8838,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.9343,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
4.9846,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
5.0351,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
5.0852,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
5.1356,0.0,0.523075,-0.523232,0.063705,0.207869,0.155928,0.0
