dt,j1,j2,j3,j4,j5,j6,gripper_m
0.0461,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.0964,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.1467,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.197,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.2473,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.2977,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.3479,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.3982,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.4486,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.4989,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.5492,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.5996,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.6501,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.7002,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.7507,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.8009,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.8511,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.9014,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
0.9518,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
1.0021,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
1.0524,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
1.1027,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
1.153,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
1.2032,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
1.2536,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
1.3039,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
1.3542,-0.060022,-0.028414,-0.068242,-0.017925,-0.221308,0.023684,0.0
