dt,j1,j2,j3,j4,j5,j6,gripper_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7858,0.0,0.0,0.000681,0.0,0.0,0.0,0.0
4.836,0.0,0.0,0.000681,0.0,0.0,0.0,0.0
4.8864,0.0,0.0,0.000681,0.0,0.0,0.0,0.0
4.9367,0.0,0.0,0.000681,0.0,0.0,0.0,0.0
4.987,0.0,0.0,0.000681,0.0,0.0,0.0,0.0
5.0373,0.0,0.0,0.000681,0.0,0.0,0.0,0.0
5.0878,0.0,0.0,0.000681,0.0,0.0,0.0,0.0
