timestamp,topic,payload_raw,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,j1,j2,j3,j4,j5,j6,linear,angular,gripper_value,event
2026-05-23T21:37:02.483,robot/gripper,g 0.42,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:02.967,robot/gripper,g 0.15,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:03.187,robot/gripper,g 0.15,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:03.189,robot/gripper,g 0.12,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:03.339,robot/gripper,g 0.18,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:03.691,robot/gripper,g 0.18,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:03.693,robot/gripper,g 0.16,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:04.420,robot/gripper,g 0.16,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:04.422,robot/gripper,g 0.18,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:04.815,robot/gripper,g 0.18,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:04.819,robot/gripper,g 0.18,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:04.877,robot/gripper,g 0.18,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:04.965,robot/gripper,g 0.22,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.117,robot/gripper,g 0.49,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.121,robot/gripper,g 0.53,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.123,robot/gripper,g 0.51,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.168,robot/gripper,g 0.35,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.322,robot/gripper,g 0.2,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.427,robot/gripper,g 0.18,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.533,robot/gripper,g 0.05,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.537,robot/gripper,g 0.34,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.574,robot/gripper,g 0.45,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.680,robot/gripper,g 0.45,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.747,robot/gripper,g 0.45,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.750,robot/gripper,g 0.42,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:05.806,robot/gripper,g 0.36,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
